Method,Instance,N,Optimal_K,Euristich_K,Q,Cost,Optimal_Value,Optimality_Gap(%),Optimality_K_Gap(%),Processing_Time(s)
My-Euristich,XML100_1313_14,100,10,12.0,10,19523.0,13124.0,48.76,20.0,0.003109
My-Euristich,XML100_2213_09,100,10,12.0,10,20414.0,12089.0,68.86,20.0,0.003152
My-Euristich,XML100_2213_11,100,10,12.0,10,12131.0,9185.0,32.07,20.0,0.003123
My-Euristich,XML100_2213_12,100,10,12.0,10,14847.0,10187.0,45.74,20.0,0.003327
My-Euristich,XML100_2315_06,100,5,6.0,20,11385.0,7901.0,44.1,20.0,0.003303
My-Euristich,XML100_2313_05,100,10,12.0,10,21899.0,13143.0,66.62,20.0,0.003176
My-Euristich,XML100_2313_03,100,10,12.0,10,20689.0,12296.0,68.26,20.0,0.003203
My-Euristich,XML100_2315_23,100,5,6.0,20,14232.0,9468.0,50.32,20.0,0.002108
My-Euristich,XML100_2315_16,100,5,6.0,20,17394.0,8881.0,95.86,20.0,0.003063
My-Euristich,XML100_2313_20,100,10,12.0,10,18237.0,11683.0,56.1,20.0,0.003101
My-Euristich,XML100_2313_24,100,10,12.0,10,20254.0,12550.0,61.39,20.0,0.003038
My-Euristich,XML100_2313_26,100,10,12.0,10,19847.0,11771.0,68.61,20.0,0.003043
My-Euristich,XML100_2315_12,100,5,6.0,20,13622.0,8948.0,52.24,20.0,0.002282
My-Euristich,XML100_1213_26,100,10,12.0,10,17113.0,13052.0,31.11,20.0,0.003248
My-Euristich,XML100_2313_10,100,10,12.0,10,21566.0,12556.0,71.76,20.0,0.003099
My-Euristich,XML100_2313_18,100,10,12.0,10,19378.0,11449.0,69.25,20.0,0.003265
My-Euristich,XML100_2313_17,100,10,12.0,10,20644.0,12047.0,71.36,20.0,0.003088
My-Euristich,XML100_1213_23,100,10,12.0,10,12921.0,8213.0,57.32,20.0,0.003171
My-Euristich,XML100_2313_06,100,10,12.0,10,21433.0,12218.0,75.42,20.0,0.003151
My-Euristich,XML100_1213_20,100,10,12.0,10,18347.0,13814.0,32.81,20.0,0.003158
My-Euristich,XML100_1213_12,100,10,12.0,10,19711.0,14200.0,38.81,20.0,0.003235
My-Euristich,XML100_1213_05,100,10,12.0,10,12671.0,7841.0,61.6,20.0,0.003313
My-Euristich,XML100_2313_09,100,10,12.0,10,19389.0,11967.0,62.02,20.0,0.003311
My-Euristich,XML100_2313_13,100,10,12.0,10,17074.0,11223.0,52.13,20.0,0.003086
My-Euristich,XML100_2313_11,100,10,12.0,10,21353.0,12566.0,69.93,20.0,0.003229
My-Euristich,XML100_1213_02,100,10,12.0,10,21191.0,15693.0,35.03,20.0,0.003203
My-Euristich,XML100_1213_01,100,10,12.0,10,15400.0,11539.0,33.46,20.0,0.004098
My-Euristich,XML100_1213_06,100,10,12.0,10,16700.0,12899.0,29.47,20.0,0.00359
My-Euristich,XML100_3313_16,100,10,12.0,10,22612.0,15748.0,43.59,20.0,0.003414
My-Euristich,XML100_3313_02,100,10,12.0,10,24650.0,18204.0,35.41,20.0,0.003291
My-Euristich,XML100_3313_04,100,10,12.0,10,27734.0,21404.0,29.57,20.0,0.003152
My-Euristich,XML100_3313_10,100,10,12.0,10,28750.0,20161.0,42.6,20.0,0.003152
My-Euristich,XML100_1315_27,100,5,6.0,20,16090.0,11400.0,41.14,20.0,0.002242
My-Euristich,XML100_1315_24,100,5,6.0,20,15143.0,11136.0,35.98,20.0,0.002191
My-Euristich,XML100_3315_23,100,5,6.0,20,16091.0,12176.0,32.15,20.0,0.002192
My-Euristich,XML100_3315_15,100,5,6.0,20,19120.0,12815.0,49.2,20.0,0.002273
My-Euristich,XML100_3315_11,100,5,6.0,20,17325.0,12703.0,36.39,20.0,0.002322
My-Euristich,XML100_3315_09,100,5,6.0,20,17633.0,12442.0,41.72,20.0,0.002276
My-Euristich,XML100_3315_06,100,5,6.0,20,16435.0,11406.0,44.09,20.0,0.002267
My-Euristich,XML100_3315_05,100,5,6.0,20,17333.0,12119.0,43.02,20.0,0.002449
My-Euristich,XML100_3315_02,100,5,6.0,20,16672.0,11122.0,49.9,20.0,0.002297
My-Euristich,XML100_3312_24,100,17,20.0,6,36036.0,27607.0,30.53,17.65,0.009211
My-Euristich,XML100_3312_20,100,17,20.0,6,41387.0,30731.0,34.68,17.65,0.004505
My-Euristich,XML100_3312_19,100,17,20.0,6,40713.0,30950.0,31.54,17.65,0.004524
My-Euristich,XML100_3312_18,100,17,20.0,6,43081.0,33457.0,28.77,17.65,0.004598
My-Euristich,XML100_3312_16,100,17,20.0,6,38230.0,29632.0,29.02,17.65,0.004772
My-Euristich,XML100_3312_25,100,17,20.0,6,36591.0,27540.0,32.86,17.65,0.008015
My-Euristich,XML100_3312_22,100,17,20.0,6,43974.0,34117.0,28.89,17.65,0.004805
My-Euristich,XML100_1212_10,100,17,20.0,6,33446.0,25773.0,29.77,17.65,0.004989
My-Euristich,XML100_2312_21,100,17,20.0,6,29429.0,17925.0,64.18,17.65,0.004534
My-Euristich,XML100_2312_23,100,17,20.0,6,24703.0,15502.0,59.35,17.65,0.004485
My-Euristich,XML100_2312_24,100,17,20.0,6,27422.0,17074.0,60.61,17.65,0.004906
My-Euristich,XML100_2312_26,100,17,20.0,6,29123.0,17403.0,67.34,17.65,0.005464
My-Euristich,XML100_1212_25,100,17,20.0,6,29966.0,24486.0,22.38,17.65,0.00627
My-Euristich,XML100_3112_05,100,17,20.0,6,40143.0,30341.0,32.31,17.65,0.005123
My-Euristich,XML100_3112_11,100,17,20.0,6,40980.0,30401.0,34.8,17.65,0.004848
My-Euristich,XML100_3112_10,100,17,20.0,6,39044.0,29741.0,31.28,17.65,0.004576
My-Euristich,XML100_3112_08,100,17,20.0,6,38785.0,30243.0,28.24,17.65,0.004521
My-Euristich,XML100_3112_12,100,17,20.0,6,43508.0,31225.0,39.34,17.65,0.004513
